Model,Epochs,Final Precision,Final Recall,Final mAP@0.5,Final mAP@0.5:0.95,Best mAP@0.5,Best mAP@0.5:0.95
YOLOv12 Baseline,13,0.7506,0.8229,0.7533,0.5392,0.7773,0.5546
YOLOv12-CBAM,20,0.7012,0.7455,0.7012,0.4114,0.7023,0.4217
